Year,Month,Day,Rainfall amount (millimetres)
2013,6.0,2.0,5.0
2013,6.0,3.0,0.2
2013,6.0,4.0,0.2
2013,6.0,5.0,0.0
2013,6.0,6.0,0.0
2013,6.0,7.0,13.0
2013,6.0,8.0,0.6
2013,6.0,9.0,0.0
2013,6.0,10.0,0.0
2013,6.0,11.0,0.0
2013,6.0,12.0,0.2
2013,6.0,13.0,9.6
2013,6.0,14.0,9.2
2013,6.0,15.0,0.0
2013,6.0,16.0,0.6
2013,6.0,17.0,1.0
2013,6.0,18.0,2.0
2013,6.0,19.0,0.0
2013,6.0,20.0,0.0
2013,6.0,21.0,0.0
2013,6.0,22.0,0.0
2013,6.0,23.0,0.0
2013,6.0,24.0,0.0
2013,6.0,25.0,0.0
2013,6.0,26.0,0.0
2013,6.0,27.0,0.0
2013,6.0,28.0,0.0
2013,6.0,29.0,0.0
2013,6.0,30.0,0.0
2013,7.0,1.0,0.2
2013,7.0,2.0,1.6
2013,7.0,3.0,0.0
2013,7.0,4.0,0.0
2013,7.0,5.0,0.6
2013,7.0,6.0,0.2
2013,7.0,7.0,1.2
2013,7.0,8.0,2.0
2013,7.0,9.0,0.0
2013,7.0,10.0,0.0
2013,7.0,11.0,0.0
2013,7.0,12.0,0.0
2013,7.0,13.0,0.0
2013,7.0,14.0,17.0
2013,7.0,15.0,1.4
2013,7.0,16.0,0.2
2013,7.0,17.0,0.0
2013,7.0,18.0,0.0
2013,7.0,19.0,6.6
2013,7.0,20.0,13.4
2013,7.0,21.0,9.8
2013,7.0,22.0,0.0
2013,7.0,23.0,3.0
2013,7.0,24.0,0.0
2013,7.0,25.0,0.2
2013,7.0,26.0,0.2
2013,7.0,27.0,0.0
2013,7.0,28.0,0.0
2013,7.0,29.0,5.2
2013,7.0,30.0,1.4
2013,7.0,31.0,0.2
2013,8.0,1.0,0.0
2013,8.0,2.0,0.0
2013,8.0,3.0,2.6
2013,8.0,4.0,12.2
2013,8.0,5.0,2.2
2013,8.0,6.0,3.8
2013,8.0,7.0,0.6
2013,8.0,8.0,15.2
2013,8.0,9.0,6.4
2013,8.0,10.0,0.0
2013,8.0,11.0,0.0
2013,8.0,12.0,0.0
2013,8.0,13.0,1.8
2013,8.0,14.0,0.0
2013,8.0,15.0,0.8
2013,8.0,16.0,0.0
2013,8.0,17.0,0.0
2013,8.0,18.0,0.2
2013,8.0,19.0,0.4
2013,8.0,20.0,0.6
2013,8.0,21.0,0.0
2013,8.0,22.0,0.0
2013,8.0,23.0,3.2
2013,8.0,24.0,0.4
2013,8.0,25.0,0.0
2013,8.0,26.0,0.0
2013,8.0,27.0,0.0
2013,8.0,28.0,0.0
2013,8.0,29.0,0.0
2013,8.0,30.0,2.4
2013,8.0,31.0,1.4
2013,9.0,1.0,0.0
2013,9.0,2.0,0.0
2013,9.0,3.0,0.0
2013,9.0,4.0,0.0
2013,9.0,5.0,0.0
2013,9.0,6.0,2.6
2013,9.0,7.0,0.0
2013,9.0,8.0,0.0
2013,9.0,9.0,0.2
2013,9.0,10.0,0.0
2013,9.0,11.0,0.2
2013,9.0,12.0,1.0
2013,9.0,13.0,1.0
2013,9.0,14.0,0.0
2013,9.0,15.0,0.0
2013,9.0,16.0,3.2
2013,9.0,17.0,25.4
2013,9.0,18.0,0.0
2013,9.0,19.0,10.8
2013,9.0,20.0,1.8
2013,9.0,21.0,1.4
2013,9.0,22.0,0.0
2013,9.0,23.0,0.0
2013,9.0,24.0,0.0
2013,9.0,25.0,0.0
2013,9.0,26.0,30.2
2013,9.0,27.0,0.8
2013,9.0,28.0,2.4
2013,9.0,29.0,0.8
2013,9.0,30.0,0.0
2013,10.0,1.0,2.2
2013,10.0,2.0,0.2
2013,10.0,3.0,1.8
2013,10.0,4.0,0.2
2013,10.0,5.0,0.2
2013,10.0,6.0,0.0
2013,10.0,7.0,3.2
2013,10.0,8.0,0.8
2013,10.0,9.0,0.0
2013,10.0,10.0,0.0
2013,10.0,11.0,3.2
2013,10.0,12.0,0.2
2013,10.0,13.0,0.0
2013,10.0,14.0,5.8
2013,10.0,15.0,1.4
2013,10.0,16.0,0.0
2013,10.0,17.0,1.6
2013,10.0,18.0,1.6
2013,10.0,19.0,0.0
2013,10.0,20.0,0.0
2013,10.0,21.0,0.0
2013,10.0,22.0,0.2
2013,10.0,23.0,15.4
2013,10.0,24.0,3.4
2013,10.0,25.0,0.2
2013,10.0,26.0,1.4
2013,10.0,27.0,0.0
2013,10.0,28.0,0.2
2013,10.0,29.0,1.4
2013,10.0,30.0,0.0
2013,10.0,31.0,0.0
2013,11.0,1.0,0.0
2013,11.0,2.0,0.0
2013,11.0,3.0,0.0
2013,11.0,4.0,1.2
2013,11.0,5.0,0.0
2013,11.0,6.0,0.0
2013,11.0,7.0,0.0
2013,11.0,8.0,0.0
2013,11.0,9.0,4.2
2013,11.0,10.0,2.0
2013,11.0,11.0,0.0
2013,11.0,12.0,0.4
2013,11.0,13.0,18.6
2013,11.0,14.0,7.8
2013,11.0,15.0,0.0
2013,11.0,16.0,0.0
2013,11.0,17.0,0.0
2013,11.0,18.0,0.0
2013,11.0,19.0,0.0
2013,11.0,20.0,0.0
2013,11.0,21.0,0.2
2013,11.0,22.0,0.0
2013,11.0,23.0,2.6
2013,11.0,24.0,6.0
2013,11.0,25.0,0.2
2013,11.0,26.0,0.0
2013,11.0,27.0,0.0
2013,11.0,28.0,0.0
2013,11.0,29.0,9.6
2013,11.0,30.0,0.2
2013,12.0,1.0,0.0
2013,12.0,2.0,0.0
2013,12.0,3.0,0.0
2013,12.0,4.0,10.4
2013,12.0,5.0,9.2
2013,12.0,6.0,2.6
2013,12.0,7.0,0.0
2013,12.0,8.0,0.0
2013,12.0,9.0,0.0
2013,12.0,10.0,12.4
2013,12.0,11.0,0.4
2013,12.0,12.0,2.4
2013,12.0,13.0,0.0
2013,12.0,14.0,0.0
2013,12.0,15.0,0.0
2013,12.0,16.0,0.0
2013,12.0,17.0,0.0
2013,12.0,18.0,0.0
2013,12.0,19.0,0.0
2013,12.0,20.0,0.0
2013,12.0,21.0,0.0
2013,12.0,22.0,0.2
2013,12.0,23.0,2.0
2013,12.0,24.0,1.0
2013,12.0,25.0,0.0
2013,12.0,26.0,0.0
2013,12.0,27.0,0.0
2013,12.0,28.0,0.0
2013,12.0,29.0,0.0
2013,12.0,30.0,0.0
2013,12.0,31.0,0.0
2014,1.0,1.0,0.0
2014,1.0,2.0,5.2
2014,1.0,3.0,0.0
2014,1.0,4.0,0.0
2014,1.0,5.0,0.2
2014,1.0,6.0,0.8
2014,1.0,7.0,0.0
2014,1.0,8.0,0.0
2014,1.0,9.0,0.0
2014,1.0,10.0,0.0
2014,1.0,11.0,0.0
2014,1.0,12.0,0.0
2014,1.0,13.0,0.0
2014,1.0,14.0,0.0
2014,1.0,15.0,0.2
2014,1.0,16.0,0.0
2014,1.0,17.0,0.2
2014,1.0,18.0,0.2
2014,1.0,19.0,0.0
2014,1.0,20.0,0.0
2014,1.0,21.0,0.0
2014,1.0,22.0,0.2
2014,1.0,23.0,0.0
2014,1.0,24.0,1.0
2014,1.0,25.0,5.4
2014,1.0,26.0,0.0
2014,1.0,27.0,0.0
2014,1.0,28.0,0.0
2014,1.0,29.0,0.0
2014,1.0,30.0,0.0
2014,1.0,31.0,0.0
2014,2.0,1.0,0.0
2014,2.0,2.0,0.0
2014,2.0,3.0,0.0
2014,2.0,4.0,0.4
2014,2.0,5.0,0.0
2014,2.0,6.0,0.0
2014,2.0,7.0,0.0
2014,2.0,8.0,0.0
2014,2.0,9.0,0.0
2014,2.0,10.0,0.0
